Mã CK,ROE Năm (%),Tăng trưởng LNST (%),P/E,D/E,Tăng_trưởng_YoY_thật,ROE_TTM_thật
DM7,110.0,238.1,6.2,N/A,False,True
TNI,62.6,1083.0,5.2,N/A,False,True
BDG,18.4,292.7,8.4,N/A,False,True
BTT,16.4,57.4,7.4,N/A,False,True
DP3,28.1,212.5,7.4,N/A,False,True
MLS,107.9,603.8,6.1,N/A,False,True
QNP,16.0,63.4,8.3,N/A,False,True
QST,22.9,34.1,7.7,N/A,False,True
PXT,186.3,30.7,15.5,N/A,False,True
OCB,12.3,81.8,7.5,N/A,False,True
C32,34.7,1926.8,4.1,N/A,False,True
VIX,29.0,245.6,6.2,N/A,False,True
LPB,26.0,47.2,10.9,N/A,False,True
SP2,40.4,198.7,7.6,N/A,False,True
PHC,54.8,948.3,11.2,N/A,False,True
VNR,23.3,68.9,8.7,N/A,False,True
SPC,15.8,406.2,3.9,N/A,False,True
TN1,26.1,70.9,2.9,N/A,False,True
NDF,62.5,726.4,7.2,N/A,False,True
ABB,18.4,195.1,5.9,N/A,False,True
ALT,26.1,981.0,8.0,N/A,False,True
CMN,14.4,28.1,16.6,N/A,False,True
IDI,249.1,57.4,14.4,N/A,False,True
FOX,32.7,17.1,11.3,N/A,False,True
VGG,18.1,22.6,4.5,N/A,False,True
SCD,71.0,67.6,-1.0,N/A,False,True
VLB,41.3,72.3,7.5,N/A,False,True
TV1,34.4,108.8,3.9,N/A,False,True
TV4,13.7,881.7,8.0,N/A,False,True
CCP,102.6,212.3,14.2,N/A,False,True
DLR,429.7,6027.2,3.2,N/A,False,True
MBG,184.0,55.8,15.7,N/A,False,True
VVS,66.7,498.8,4.3,N/A,False,True
MDG,44.1,878.1,6.2,N/A,False,True
VAF,28.5,83.6,4.3,N/A,False,True
PJC,23.8,83.9,5.6,N/A,False,True
KCB,164.8,849.8,0.7,N/A,False,False
SD8,23.0,86.1,-1.2,N/A,False,False
MBB,20.8,33.4,6.4,N/A,False,True
SDT,115.5,7694.3,2.8,N/A,False,True
SD4,56.1,162.1,-3.1,N/A,False,True
IDC,24.9,29.5,6.5,N/A,False,True
DMC,12.2,94.3,10.5,N/A,False,True
CHP,22.9,31.1,9.4,N/A,False,True
CTR,29.4,34.7,16.3,N/A,False,True
SZL,22.1,78.7,9.1,N/A,False,True
HOT,30.7,54.1,7.5,N/A,False,True
HNA,14.2,139.2,10.6,N/A,False,True
FBC,42.2,18.6,N/A,N/A,False,False
NFC,53.6,27.4,6.1,N/A,False,True
BMC,42.7,187.8,15.9,N/A,False,True
MAC,12.8,91.1,4.6,N/A,False,True
LAF,16.4,322.7,7.2,N/A,False,True
VGP,38.8,2272.6,12.5,N/A,False,True
MEL,119.5,56.7,9.8,N/A,False,True
SZB,28.0,206.6,5.6,N/A,False,True
NDX,19.7,903.1,9.6,N/A,False,True
HAG,18.3,158.4,9.2,N/A,False,True
VCF,26.7,22.0,14.8,N/A,False,True
THP,95.8,235.2,5.7,N/A,False,True
PIA,20.4,439.6,7.6,N/A,False,True
KST,41.6,379.8,7.0,N/A,False,True
INN,16.2,39.4,6.6,N/A,False,True
TBC,13.5,30.9,11.6,N/A,False,True
VGR,43.8,21.3,12.1,N/A,False,True
BCR,161.7,251.0,8.4,N/A,False,True
IJC,97.0,164.6,7.8,N/A,False,True
CDP,12.8,44.1,7.9,N/A,False,True
KSV,42.7,101.0,10.0,N/A,False,True
TRA,15.8,62.5,12.4,N/A,False,True
BCE,103.8,2002.8,3.8,N/A,False,True
CAD,19.0,237.0,-2.3,N/A,False,True
LLM,29.3,195.7,3.9,N/A,False,True
MVC,13.4,205.0,10.1,N/A,False,True
LIX,20.6,48.0,11.1,N/A,False,True
VNC,24.7,154.8,6.2,N/A,False,True
LDG,13.9,881.9,6.3,N/A,False,True
HPW,14.6,142.8,9.9,N/A,False,True
HVT,20.5,46.2,6.5,N/A,False,True
V12,73.3,225.0,12.2,N/A,False,True
EMS,22.1,175.0,6.1,N/A,False,True
AVG,166.0,39.2,9.8,N/A,False,True
DNC,38.5,46.1,7.8,N/A,False,True
HC3,195.4,66.0,12.7,N/A,False,True
GSM,20.6,85.6,8.0,N/A,False,True
VNA,12.6,62629.6,13.8,N/A,False,True
TOS,49.6,76.4,4.9,N/A,False,True
DVP,24.6,95.0,8.0,N/A,False,True
GSP,42.8,28.9,6.7,N/A,False,True
HTP,12.4,100.4,-4.3,N/A,False,True
HDA,111.3,283.7,7.5,N/A,False,True
TLD,148.6,1986.3,9.7,N/A,False,True
TPP,32.0,2478.3,2.1,N/A,False,True
ABT,26.1,44.6,5.3,N/A,False,True
